Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
7:00p,Houston Rockets,116,Brooklyn Nets,123,Box Score,,17732,
7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,Box Score,,16079,
7:00p,Milwaukee Bucks,123,Orlando Magic,91,Box Score,,15105,
7:30p,New York Knicks,102,Boston Celtics,104,Box Score,,18624,
8:00p,Detroit Pistons,106,Chicago Bulls,112,Box Score,,20671,
9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,Box Score,OT,20358,
10:00p,Utah Jazz,101,Sacramento Kings,102,Box Score,,16273,
10:30p,San Antonio Spurs,127,Golden State Warriors,110,Box Score,,18064,
5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,Box Score,,18203,
7:00p,Brooklyn Nets,109,Detroit Pistons,113,Box Score,,17222,
7:00p,Denver Nuggets,91,Orlando Magic,87,Box Score,,17025,
8:00p,Phoenix Suns,114,Memphis Grizzlies,105,Box Score,,14144,
8:00p,Toronto Raptors,105,Milwaukee Bucks,115,Box Score,,17637,
8:00p,Minnesota Timberwolves,131,Washington Wizards,109,Box Score,,15150,
8:30p,Charlotte Hornets,93,Golden State Warriors,87,Box Score,,18064,
10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,Box Score,,19669,
5:00p,Chicago Bulls,95,Indiana Pacers,108,Box Score,,17073,
6:00p,Houston Rockets,100,Miami Heat,129,Box Score,,19724,
6:00p,Sacramento Kings,113,New York Knicks,92,Box Score,,19812,
7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,Box Score,,18610,
7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,Box Score,,18078,
9:00p,Utah Jazz,94,Los Angeles Clippers,105,Box Score,,19068,
7:00p,Detroit Pistons,99,Washington Wizards,115,Box Score,,13052,
7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,Box Score,,17194,
8:00p,Houston Rockets,107,Memphis Grizzlies,100,Box Score,,14197,
8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,Box Score,,16271,
9:00p,Philadelphia 76ers,109,Phoenix Suns,114,Box Score,,14285,
10:30p,Portland Trail Blazers,118,Golden State Warriors,127,Box Score,,18064,
7:00p,Indiana Pacers,120,Charlotte Hornets,122,Box Score,OT,13341,
7:00p,Boston Celtics,119,Cleveland Cavaliers,113,Box Score,,17709,
7:30p,San Antonio Spurs,100,Atlanta Hawks,108,Box Score,,14025,
8:00p,Los Angeles Lakers,118,Chicago Bulls,112,Box Score,,21193,
8:00p,Orlando Magic,94,Oklahoma City Thunder,102,Box Score,,18203,
9:00p,Miami Heat,89,Denver Nuggets,109,Box Score,,18010,
7:00p,New York Knicks,102,Detroit Pistons,122,Box Score,,15463,
7:00p,Washington Wizards,106,Indiana Pacers,121,Box Score,,16171,
7:30p,Chicago Bulls,113,Atlanta Hawks,93,Box Score,,15049,
7:30p,Golden State Warriors,112,Houston Rockets,129,Box Score,,18055,
7:30p,Sacramento Kings,120,Toronto Raptors,124,Box Score,,19800,
8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,Box Score,,13503,
8:30p,Orlando Magic,106,Dallas Mavericks,107,Box Score,,19487,
9:00p,Philadelphia 76ers,104,Utah Jazz,106,Box Score,,18306,
10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,Box Score,,19068,
8:00p,Boston Celtics,108,Charlotte Hornets,87,Box Score,,18487,
8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,Box Score,,18354,
9:00p,Miami Heat,124,Phoenix Suns,108,Box Score,,15498,
10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,Box Score,,19068,
7:00p,Detroit Pistons,106,Indiana Pacers,112,Box Score,,15544,
7:00p,Memphis Grizzlies,86,Orlando Magic,118,Box Score,,17021,
7:00p,Cleveland Cavaliers,113,Washington Wizards,100,Box Score,,16946,
7:30p,Sacramento Kings,121,Atlanta Hawks,109,Box Score,,16447,
8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,Box Score,OT,15647,
8:00p,Toronto Raptors,122,New Orleans Pelicans,104,Box Score,,16337,
8:30p,New York Knicks,106,Dallas Mavericks,102,Box Score,,20257,
9:00p,Philadelphia 76ers,97,Denver Nuggets,100,Box Score,,19520,
9:00p,Milwaukee Bucks,100,Utah Jazz,103,Box Score,,18306,
10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,Box Score,,20089,
10:30p,Miami Heat,80,Los Angeles Lakers,95,Box Score,,18997,
5:00p,Boston Celtics,135,San Antonio Spurs,115,Box Score,,18354,
7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,Box Score,,18513,
8:00p,Houston Rockets,117,Chicago Bulls,94,Box Score,,20482,
8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,Box Score,,15753,
8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,Box Score,,18203,
3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,Box Score,OT,13553,
6:00p,Indiana Pacers,109,Orlando Magic,102,Box Score,,17118,
6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,Box Score,,20311,
7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,Box Score,,18203,
7:30p,Cleveland Cavaliers,108,New York Knicks,87,Box Score,,19812,
8:00p,Brooklyn Nets,112,Phoenix Suns,138,Box Score,,17290,
9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,20041,
9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,18997,
7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,12526,
7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,18624,
7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,18627,
8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,16695,
10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,18064,
10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,19068,
7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,15838,
7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,20294,
7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,19600,
8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,18668,
9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,18327,
9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,18055,
9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,18306,
10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,16358,
7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,13155,
7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,15113,
7:30p,Washington Wizards,133,Boston Celtics,140,Box Score,,19156,
7:30p,Los Angeles Clippers,93,Houston Rockets,102,Box Score,,18055,
8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,Box Score,,11581,
10:00p,Golden State Warriors,94,Los Angeles Lakers,120,Box Score,,18997,
10:00p,Toronto Raptors,114,Portland Trail Blazers,106,Box Score,,19544,
6:00p,Miami Heat,108,Cleveland Cavaliers,97,Box Score,,17374,
8:00p,Chicago Bulls,115,Milwaukee Bucks,124,Box Score,,17627,
8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,Box Score,,17147,
8:00p,Dallas Mavericks,103,New York Knicks,106,Box Score,,19812,
9:00p,Atlanta Hawks,112,Phoenix Suns,128,Box Score,,15143,
10:30p,Brooklyn Nets,93,Denver Nuggets,101,Box Score,,18394,
7:00p,Detroit Pistons,106,Charlotte Hornets,109,Box Score,,16778,
7:00p,San Antonio Spurs,109,Orlando Magic,111,Box Score,,16296,
8:00p,Indiana Pacers,102,Houston Rockets,111,Box Score,,18055,
8:00p,Utah Jazz,106,Memphis Grizzlies,107,Box Score,,16422,
8:00p,Washington Wizards,137,Minnesota Timberwolves,116,Box Score,,12716,
8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,Box Score,OT,18203,
10:30p,Boston Celtics,105,Golden State Warriors,100,Box Score,,18064,
10:30p,Sacramento Kings,97,Los Angeles Lakers,99,Box Score,,18997,
6:00p,Brooklyn Nets,117,Chicago Bulls,111,Box Score,,19148,
7:00p,Milwaukee Bucks,102,Indiana Pacers,83,Box Score,,17024,
7:30p,Charlotte Hornets,103,New York Knicks,102,Box Score,,19401,
8:00p,New Orleans Pelicans,94,Miami Heat,109,Box Score,,19600,
8:00p,Houston Rockets,125,Minnesota Timberwolves,105,Box Score,,18978,
8:30p,Toronto Raptors,102,Dallas Mavericks,110,Box Score,,19926,
8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,Box Score,,18534,
10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,Box Score,,19068,
3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,Box Score,,19432,
3:30p,Boston Celtics,99,Sacramento Kings,100,Box Score,,16633,
6:00p,Denver Nuggets,131,Memphis Grizzlies,114,Box Score,,14227,
6:00p,Washington Wizards,121,Orlando Magic,125,Box Score,,16344,
7:00p,Golden State Warriors,100,New Orleans Pelicans,108,Box Score,,16812,
9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,Box Score,,18997,
7:00p,Cleveland Cavaliers,105,New York Knicks,123,Box Score,,17097,
7:30p,Indiana Pacers,115,Brooklyn Nets,86,Box Score,,14140,
7:30p,Charlotte Hornets,96,Toronto Raptors,132,Box Score,,19800,
8:00p,Milwaukee Bucks,115,Chicago Bulls,101,Box Score,,17565,
8:00p,Portland Trail Blazers,108,Houston Rockets,132,Box Score,,18055,
8:30p,San Antonio Spurs,110,Dallas Mavericks,117,Box Score,,19637,
9:00p,Boston Celtics,99,Phoenix Suns,85,Box Score,,15193,
9:00p,Minnesota Timberwolves,112,Utah Jazz,102,Box Score,,18306,
10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,Box Score,,19068,
8:00p,Golden State Warriors,114,Memphis Grizzlies,95,Box Score,,14511,
8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,Box Score,,15021,
10:00p,Phoenix Suns,116,Sacramento Kings,120,Box Score,,16732,
10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,Box Score,,18997,
7:00p,New York Knicks,104,Philadelphia 76ers,109,Box Score,,20384,
7:00p,San Antonio Spurs,132,Washington Wizards,138,Box Score,,14579,
7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,Box Score,,16441,
7:30p,Charlotte Hornets,91,Brooklyn Nets,101,Box Score,,14011,
7:30p,Golden State Warriors,94,Dallas Mavericks,142,Box Score,,19569,
7:30p,Cleveland Cavaliers,100,Miami Heat,124,Box Score,,19600,
7:30p,Orlando Magic,97,Toronto Raptors,113,Box Score,,19800,
8:00p,Detroit Pistons,89,Chicago Bulls,109,Box Score,,18119,
8:00p,Utah Jazz,103,Minnesota Timberwolves,95,Box Score,,13177,
9:00p,Houston Rockets,95,Denver Nuggets,105,Box Score,,17778,
10:00p,Boston Celtics,104,Los Angeles Clippers,107,Box Score,OT,19068,
8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,Box Score,,17385,
10:30p,New Orleans Pelicans,124,Phoenix Suns,121,Box Score,,13903,
7:00p,Atlanta Hawks,103,Detroit Pistons,128,Box Score,,15399,
7:00p,Charlotte Hornets,118,Washington Wizards,125,Box Score,,15053,
7:30p,Sacramento Kings,97,Brooklyn Nets,116,Box Score,,15619,
8:00p,Miami Heat,116,Chicago Bulls,108,Box Score,,18953,
8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,Box Score,,18203,
8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,Box Score,,20927,
8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,Box Score,,19639,
9:00p,Boston Celtics,92,Denver Nuggets,96,Box Score,,19520,
9:00p,Golden State Warriors,109,Utah Jazz,113,Box Score,,18306,
10:30p,Houston Rockets,119,Los Angeles Clippers,122,Box Score,,19068,
5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,Box Score,,17362,
7:00p,Chicago Bulls,116,Charlotte Hornets,115,Box Score,,17891,
7:00p,Orlando Magic,106,Indiana Pacers,111,Box Score,,16446,
7:30p,Toronto Raptors,119,Atlanta Hawks,116,Box Score,,16931,
7:30p,San Antonio Spurs,111,New York Knicks,104,Box Score,,19320,
7:30p,Miami Heat,86,Philadelphia 76ers,113,Box Score,,21017,
8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,Box Score,,19432,
8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,Box Score,,17794,
8:30p,Detroit Pistons,90,Milwaukee Bucks,104,Box Score,,17585,
9:00p,New Orleans Pelicans,120,Utah Jazz,128,Box Score,,18306,
3:30p,Dallas Mavericks,137,Houston Rockets,123,Box Score,,18055,
6:00p,Brooklyn Nets,103,New York Knicks,101,Box Score,,18770,
6:00p,Sacramento Kings,113,Washington Wizards,106,Box Score,,15885,
8:00p,Phoenix Suns,104,Denver Nuggets,116,Box Score,,19520,
9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,Box Score,,19068,
7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,Box Score,,17143,
7:00p,Orlando Magic,88,Detroit Pistons,103,Box Score,,14695,
7:00p,Memphis Grizzlies,114,Indiana Pacers,126,Box Score,,15141,
7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,Box Score,,16218,
7:30p,Sacramento Kings,102,Boston Celtics,103,Box Score,,19156,
7:30p,Charlotte Hornets,100,Miami Heat,117,Box Score,,19600,
7:30p,Philadelphia 76ers,96,Toronto Raptors,101,Box Score,,19800,
8:00p,Portland Trail Blazers,117,Chicago Bulls,94,Box Score,,18776,
8:00p,Utah Jazz,118,Milwaukee Bucks,122,Box Score,,17385,
8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,Box Score,,18498,
10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,Box Score,,18064,
8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,Box Score,,20407,
9:00p,Washington Wizards,104,Denver Nuggets,117,Box Score,,18673,
7:00p,Brooklyn Nets,110,Boston Celtics,121,Box Score,,19156,
7:00p,Detroit Pistons,101,Charlotte Hornets,102,Box Score,,15535,
7:00p,Orlando Magic,116,Cleveland Cavaliers,104,Box Score,,17712,
7:00p,Utah Jazz,102,Indiana Pacers,121,Box Score,,17027,
7:00p,Sacramento Kings,91,Philadelphia 76ers,97,Box Score,,20592,
7:30p,New York Knicks,98,Toronto Raptors,126,Box Score,,19800,
8:00p,Miami Heat,108,Houston Rockets,117,Box Score,,18055,
8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,Box Score,,16721,
8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,Box Score,,17525,
8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,Box Score,,18354,
9:00p,Washington Wizards,140,Phoenix Suns,132,Box Score,,14123,
9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,Box Score,,18626,
10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,Box Score,,19870,
10:30p,Chicago Bulls,90,Golden State Warriors,104,Box Score,,18064,
12:00p,Boston Celtics,107,Brooklyn Nets,112,Box Score,,17732,
7:00p,Charlotte Hornets,110,Detroit Pistons,107,Box Score,,15006,
7:00p,Toronto Raptors,90,Orlando Magic,83,Box Score,,17014,
7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,Box Score,,19432,
7:30p,Philadelphia 76ers,101,New York Knicks,95,Box Score,,18109,
8:00p,Atlanta Hawks,104,Indiana Pacers,105,Box Score,OT,15827,
8:00p,Utah Jazz,103,Memphis Grizzlies,94,Box Score,,16605,
8:00p,Golden State Warriors,105,Miami Heat,122,Box Score,,19600,
8:00p,New Orleans Pelicans,104,Oklahoma City Thunder,109,Box Score,,18203,
8:30p,Los Angeles Clippers,97,San Antonio Spurs,107,Box Score,,18354,
9:00p,Dallas Mavericks,120,Phoenix Suns,113,Box Score,,18055,
10:00p,Chicago Bulls,103,Portland Trail Blazers,107,Box Score,,20139,
10:30p,Washington Wizards,103,Los Angeles Lakers,125,Box Score,,18997,
5:00p,Denver Nuggets,97,Sacramento Kings,100,Box Score,OT,17583,
7:00p,Indiana Pacers,116,Philadelphia 76ers,119,Box Score,,20517,
8:00p,Atlanta Hawks,111,Houston Rockets,158,Box Score,,18055,
8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,Box Score,,17550,